A,f,misfit
1.300000000000000044e+00,2.129999999999999893e+00,4.646216880172430175e-01
1.300000000000000044e+00,2.165000000000000036e+00,4.660428262909862007e-01
1.300000000000000044e+00,2.200000000000000178e+00,4.668096549692123953e-01
1.350000000000000089e+00,8.000000000000000444e-01,4.785581076453885863e-01
1.350000000000000089e+00,8.350000000000000755e-01,4.781874895034728401e-01
1.350000000000000089e+00,8.700000000000001066e-01,4.771149729375736559e-01
1.350000000000000089e+00,9.050000000000000266e-01,4.763338348160331415e-01
1.350000000000000089e+00,9.400000000000000577e-01,4.752475022711940000e-01
1.350000000000000089e+00,9.750000000000000888e-01,4.731671005931263330e-01
1.350000000000000089e+00,1.010000000000000009e+00,4.705009224892088837e-01
1.350000000000000089e+00,1.045000000000000151e+00,4.668009597325580851e-01
1.350000000000000089e+00,1.080000000000000071e+00,4.634557585332694241e-01
1.350000000000000089e+00,1.115000000000000213e+00,4.607389388109494055e-01
1.350000000000000089e+00,1.150000000000000133e+00,4.558490458023142233e-01
1.350000000000000089e+00,1.185000000000000053e+00,4.494224289014265294e-01
1.350000000000000089e+00,1.220000000000000195e+00,4.411215620365652179e-01
1.350000000000000089e+00,1.255000000000000115e+00,4.275521186380683569e-01
1.350000000000000089e+00,1.290000000000000036e+00,4.094945592020143299e-01
1.350000000000000089e+00,1.325000000000000178e+00,3.837260517361915646e-01
1.350000000000000089e+00,1.360000000000000098e+00,3.428429493863354161e-01
1.350000000000000089e+00,1.395000000000000018e+00,2.831505025066601844e-01
1.350000000000000089e+00,1.430000000000000160e+00,1.941483137228302569e-01
1.350000000000000089e+00,1.465000000000000080e+00,8.836309042754526832e-02
1.350000000000000089e+00,1.500000000000000000e+00,3.734850565034568415e-02
1.350000000000000089e+00,1.535000000000000142e+00,8.983663100316420513e-02
1.350000000000000089e+00,1.570000000000000062e+00,1.952414117934402615e-01
1.350000000000000089e+00,1.604999999999999982e+00,2.838200744606038661e-01
1.350000000000000089e+00,1.640000000000000124e+00,3.430586179527383428e-01
1.350000000000000089e+00,1.675000000000000266e+00,3.825760128544373750e-01
1.350000000000000089e+00,1.710000000000000187e+00,4.076756840060235532e-01
1.350000000000000089e+00,1.745000000000000107e+00,4.260079571095829465e-01
1.350000000000000089e+00,1.780000000000000249e+00,4.396916223940196544e-01
1.350000000000000089e+00,1.815000000000000169e+00,4.481203610027582607e-01
1.350000000000000089e+00,1.850000000000000089e+00,4.545321907758109736e-01
1.350000000000000089e+00,1.885000000000000231e+00,4.592176121359116125e-01
1.350000000000000089e+00,1.920000000000000151e+00,4.618965231332786692e-01
1.350000000000000089e+00,1.955000000000000071e+00,4.644296521718924153e-01
1.350000000000000089e+00,1.990000000000000213e+00,4.666951084324160171e-01
1.350000000000000089e+00,2.025000000000000355e+00,4.692283101702847126e-01
1.350000000000000089e+00,2.060000000000000497e+00,4.723737795221620295e-01
1.350000000000000089e+00,2.095000000000000195e+00,4.741709498593876804e-01
1.350000000000000089e+00,2.129999999999999893e+00,4.752510254902252984e-01
1.350000000000000089e+00,2.165000000000000036e+00,4.767264235287546614e-01
1.350000000000000089e+00,2.200000000000000178e+00,4.775230759574248252e-01
1.399999999999999911e+00,8.000000000000000444e-01,4.897069896648594267e-01
1.399999999999999911e+00,8.350000000000000755e-01,4.893251102427534915e-01
1.399999999999999911e+00,8.700000000000001066e-01,4.882131184574357574e-01
1.399999999999999911e+00,9.050000000000000266e-01,4.874043882687885132e-01
1.399999999999999911e+00,9.400000000000000577e-01,4.862801424181421028e-01
1.399999999999999911e+00,9.750000000000000888e-01,4.841230591263339100e-01
1.399999999999999911e+00,1.010000000000000009e+00,4.813584217444134561e-01
1.399999999999999911e+00,1.045000000000000151e+00,4.775233038160917043e-01
1.399999999999999911e+00,1.080000000000000071e+00,4.740549893421195371e-01
1.399999999999999911e+00,1.115000000000000213e+00,4.712372805023729017e-01
1.399999999999999911e+00,1.150000000000000133e+00,4.661674811715433298e-01
1.399999999999999911e+00,1.185000000000000053e+00,4.595040003536462470e-01
1.399999999999999911e+00,1.220000000000000195e+00,4.508953556269717500e-01
1.399999999999999911e+00,1.255000000000000115e+00,4.368238035893595161e-01
1.399999999999999911e+00,1.290000000000000036e+00,4.180987353161369491e-01
1.399999999999999911e+00,1.325000000000000178e+00,3.913757789859094172e-01
1.399999999999999911e+00,1.360000000000000098e+00,3.489783581271403978e-01
1.399999999999999911e+00,1.395000000000000018e+00,2.870761914931036496e-01
1.399999999999999911e+00,1.430000000000000160e+00,1.947779910032704509e-01
1.399999999999999911e+00,1.465000000000000080e+00,8.507436072401139415e-02
1.399999999999999911e+00,1.500000000000000000e+00,3.217104041212378446e-02
1.399999999999999911e+00,1.535000000000000142e+00,8.660389944036007981e-02
1.399999999999999911e+00,1.570000000000000062e+00,1.959121415869345961e-01
1.399999999999999911e+00,1.604999999999999982e+00,2.877716841931270975e-01
1.399999999999999911e+00,1.640000000000000124e+00,3.492051300302329020e-01
1.399999999999999911e+00,1.675000000000000266e+00,3.901859790911414438e-01
1.399999999999999911e+00,1.710000000000000187e+00,4.162150359081927542e-01
1.399999999999999911e+00,1.745000000000000107e+00,4.352270588559691844e-01
1.399999999999999911e+00,1.780000000000000249e+00,4.494177445901454404e-01
1.399999999999999911e+00,1.815000000000000169e+00,4.581582160678958071e-01
1.399999999999999911e+00,1.850000000000000089e+00,4.648079875156722052e-01
1.399999999999999911e+00,1.885000000000000231e+00,4.696674759927826903e-01
1.399999999999999911e+00,1.920000000000000151e+00,4.724452020151934106e-01
1.399999999999999911e+00,1.955000000000000071e+00,4.750722262363596959e-01
1.399999999999999911e+00,1.990000000000000213e+00,4.774222605002148567e-01
1.399999999999999911e+00,2.025000000000000355e+00,4.800491177835843337e-01
1.399999999999999911e+00,2.060000000000000497e+00,4.833108322684315228e-01
1.399999999999999911e+00,2.095000000000000195e+00,4.851751588357471889e-01
1.399999999999999911e+00,2.129999999999999893e+00,4.862953908102267686e-01
1.399999999999999911e+00,2.165000000000000036e+00,4.878250190283875964e-01
1.399999999999999911e+00,2.200000000000000178e+00,4.886515196771124558e-01
1.449999999999999956e+00,8.000000000000000444e-01,5.012696161152929708e-01
1.449999999999999956e+00,8.350000000000000755e-01,5.008766515071149117e-01
1.449999999999999956e+00,8.700000000000001066e-01,4.997252021892615303e-01
1.449999999999999956e+00,9.050000000000000266e-01,4.988889755745383181e-01
1.449999999999999956e+00,9.400000000000000577e-01,4.977269822204339333e-01
1.449999999999999956e+00,9.750000000000000888e-01,4.954932437649036681e-01
1.449999999999999956e+00,1.010000000000000009e+00,4.926301676806360552e-01
1.449999999999999956e+00,1.045000000000000151e+00,4.886600289010707976e-01
1.449999999999999956e+00,1.080000000000000071e+00,4.850686570857028479e-01
1.449999999999999956e+00,1.115000000000000213e+00,4.821500401167621019e-01
1.449999999999999956e+00,1.150000000000000133e+00,4.769004202370433210e-01
1.449999999999999956e+00,1.185000000000000053e+00,4.700001582829345659e-01
1.449999999999999956e+00,1.220000000000000195e+00,4.610837115267115149e-01
1.449999999999999956e+00,1.255000000000000115e+00,4.465100839455985460e-01
1.449999999999999956e+00,1.290000000000000036e+00,4.271175989538117945e-01
1.449999999999999956e+00,1.325000000000000178e+00,3.994401894949650145e-01
1.449999999999999956e+00,1.360000000000000098e+00,3.555284408749265768e-01
1.449999999999999956e+00,1.395000000000000018e+00,2.914166338873533935e-01
